Title,Price,Sold,Reviews,Condition,Display Technology,Model,Maximum Resolution,Refresh Rate,Features,Color,Smart TV Features,Audio/Video Inputs,Year Manufactured,MPN,Brand,Manufacturer Warranty,Screen Size,UPC,Energy Star,Type,Warranty - Labor,Warranty - Parts,Built-in Digital Tuner,Custom Bundle,3D Technology,EAN,Manufacturer,Assembled Product Dimensions (L x W x H),Manufacturer Part Number,Connector Type,Streaming Services,Is Smart,Resolution,Assembled Product Weight,ISBN,Format,EC Range,Series,Country/Region of Manufacture,Model#,Manufacturer Color,Plug Type,Material,Color System,Voltage,Speaker,Depth (with stand),Width (with stand),Height (with stand),Compatible Brand,Class of efficiency energy,Scale of efficiency energy,modell,Internetverbindung,Processor,Speicherkapazität,Ability to storage,Functionality Smart TV,Inputs Audio / Video,Internet connectivity,Storage capacity,Tuner digital integrated1,Tuner digital integrated2,Tuner digital integrated3,Tuner digital integrated4,Functionality Smart TV1,Inputs Audio / Video1,Tuner digital integrated,Functionality Smart TV2,Size,Televisions:Screen_Size_Class,Home_Video:Series,Bundle Description
"Refurbished VIZIO 32"" Class HD Smart TV D-Series D32h-J",148.8,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,Does not apply,,,,,,,,Does not apply,,Does not apply,726084371217,,Does not apply,,,,,,0726084371217,Vizio,28.88 x 7.04 x 19.49 Inches,D32h-J09,Digital Audio Out. Composite. USB. RF Tuner. HDMI,"Netflix, Hulu, Apple TV+, Disney+, Tubi, YouTube TV, Peacock, You",Y,720p,8.71 lb,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung AU8000 55 inch 4K Smart LED TV, , ,"['The Samsung tv was purchased in just the right timing.  Our set we had prior, was about to give up the ghost.  The Samsung is a wonderful set, with vibrant colors and the option to make them less vibrant if you choose.  Arrival was packaged properly, and it was a good thing, since the delivery person dropped the tv and it bounced.  Thank God it was grass it landed on.  It did not affect the tv in any way.  It says alot for the manufacturer of this set.  Thank you for a wonderful Christmas gift to my family and I.  Joyce Wagner', 'I am totally satisfied with the performance of the tv. The only lack I see is the amount of included instruction for installation. I know there is an e manual but I think such things as component instillation should be included in the printed information.', 'Great value easy to use great picture quality', 'This is a low to mid level Samsung that replaced a year old $2000 Q90 55"" TV.  The year old TV went out 2 weeks after the one year warranty expired.  I\'ve been informed by repairman that this is common.  This TV is less impressive but is very good picture.  The TV continues to have problems with refresh rate and processing the internet, just as the expensive one.  I did buy an extra year warranty expecting the TV to die in one year like all the rest.', 'Awesome clear picture,love the full screen and easy functions,very pleased 😊', 'Samsung 55: AU8000 4K Crystal UHD HDR Smart TV-3 HDMI ( 2021) I Love my New Crystal 55""  TV,  Because Samsung is a very good Product, Always love their products, and I am very satisfied with my TV.', 'I love my new smart Samsung tv.   The view, sound and picture is absolutely fantastic.  Great price too!', 'perfect item, thanks', 'I like the 55 inch Samsung TV but it has a tapping sound for awhile  when it’s off which is a bit annoying. I have another Samsung 55 inch that I bought approximately 2 years ago and I don’t hear that tapping sound from it.', 'Met our needs perfectly. Easy to install. Shipping was good and tracking for spot on. ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,AU8000,2160p (4K),60 Hz,"Bluetooth, Wi-Fi Enabled, Game Mode, Ethernet Port, Wall Mountable, HDR TV, Flat Screen, Remote Control Included, Wi-Fi Ready",Black,"Netflix, Internet Streaming Interface, Downloadable Apps, Internet Browsing","Digital Audio Optical TOSLINK, Coaxial F, HDMI, USB 2.0",2021,AU8000,Samsung,,55 in,0887276522982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung QN65QN900A 65"" 8K Neo QLED Smart TV (2021) - Stainless Steel", , , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung QN900A,4320p (8K),,"Bluetooth, Wi-Fi Enabled",Silver,Internet Browsing,USB 2.0,,QN65QN900AFXZA,Samsung,,65 in,0887276521305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 75"" Class 4K Crystal UHD LED Smart TV with HDR UN75TU7000 - MSRP $1679",845.0,5 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",QLED,Samsung TU7000,2160p (4K),60 Hz,HDR TV,Black,"Closed Captioning (CC), Downloadable Apps, Appstore",USB 3.0,,UN75TU7000bxza,Samsung,,75 in,7445044259251,5 Stars,Does not apply,,,NTSC,No,2D to 3D Conversion,,Samsung,,UN75TU7000BXZA,HDMI (2); USB (1); RF In (1); Digital Audio Out(1); Ethernet (1),"YouTube, Netflix, HBO NOW, Hulu, Disney+, ESPN, Apple TV+, ShowMa",Y,"4K UHD (3,840 x 2,160)",92.4 lb,,Flat,A+++ - G,7 Series,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG NanoCell 75 Series HDR 4K UHD LED Smart webOS TV (2021 Model)  - Choose Size,366.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,LG 50NANO75UPA,2160p (4K),60 Hz,Wi-Fi Enabled,Gray,Internet Browsing,USB 2.0,2021,50NANO75UPA,LG,1 Year,50 in,,,,,,ATSC,No,Not Support,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW TCL  3 Series 32” HD Smart Android Tv ,169.99,30-day returns,"[""This TV is an excellent size for the space it is used. Disappointed in the fact that TV won't interface with the DirecTV remote, on/off and volume must be controlled with TCL remote. "", 'TCL is tops in smart tv technology, easy to set up, bright clear picture, simple remote control.', 'Great Choice For A Replacement of our small bedroom set that failed, since it has ROKUfeatures built into the unit!', 'A great tv with an great price.  Works great with a great picture.  Love the tv', 'I bought this TV primarily so that I could it could use my wireless speaker and it works fabulously and a great value', 'This was the perfect TV for my grand-daughter. It has all the apps she enjoys to watch her favorite programs.', 'Very good quality and shipped on time love this tv ', ""You can't go wrong with a TCL brand. quality and durability."", 'In its price range, it is great.', 'Excellent TV I love the Chromecast built in and the android system']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,TCL 3-Series S330,1080p,60 Hz,"Bluetooth, Wi-Fi Enabled, Headphone Jack, Ethernet Port",Black,"Netflix, Internet Streaming Interface, Home Automation Control, Voice Interaction, Android TV, Screen Mirroring","Digital Audio Optical TOSLINK, Coaxial F, Composite Video RCA, HDMI, USB 2.0",2020,32S330,TCL,,32 in,0846042014335,,,,,"NTSC, QAM, ATSC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 70"" inch 4K LED Smart TV 2021 HDR Crystal Ultra HD *Cyber Deal* ",849.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung TU7000,2160p (4K),60 Hz,Wall Mountable,Gray,"Internet Streaming Interface, Downloadable Apps",HDMI,2020,UN70TU7000FXZA,Samsung,1 year,70 in,0887276400075,Compliant,,,,"QAM, ATSC",No,,,,,,,,,,,,,A - G,,,UN70TU6985FXZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vizio D32h-J09 32"" HD Smart TV - Black",269.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,VIZIO D32h-J09,720p (HD),60 Hz,"Virtual Surround, Wi-Fi Enabled, Headphone Jack, Flat Screen",Black,"Netflix, Internet Streaming Interface, Downloadable Apps, Home Network Streaming, Internet Browsing",HDMI,,D32H-J09,VIZIO,,32 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung AU8000 75"" 4K Ultra HD HDR Smart LED TV - 2021",789.6,8 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung AU8000,2160p (4K),,"Bluetooth, Wi-Fi Enabled",Black,"Voice Interaction, Downloadable Apps, Internet Browsing","USB, HDMI",2021,UN75AU8000FXZA,Samsung,,75 in,0887276523026,,,,,,,"2D to 3D Conversion, 3D to 2D Conversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 60"" Class QLED 4K (2160P) LED Smart TV QN60Q60 2021", , ,"['The Samsung tv was purchased in just the right timing.  Our set we had prior, was about to give up the ghost.  The Samsung is a wonderful set, with vibrant colors and the option to make them less vibrant if you choose.  Arrival was packaged properly, and it was a good thing, since the delivery person dropped the tv and it bounced.  Thank God it was grass it landed on.  It did not affect the tv in any way.  It says alot for the manufacturer of this set.  Thank you for a wonderful Christmas gift to my family and I.  Joyce Wagner', 'I am totally satisfied with the performance of the tv. The only lack I see is the amount of included instruction for installation. I know there is an e manual but I think such things as component instillation should be included in the printed information.', 'Great value easy to use great picture quality', 'This is a low to mid level Samsung that replaced a year old $2000 Q90 55"" TV.  The year old TV went out 2 weeks after the one year warranty expired.  I\'ve been informed by repairman that this is common.  This TV is less impressive but is very good picture.  The TV continues to have problems with refresh rate and processing the internet, just as the expensive one.  I did buy an extra year warranty expecting the TV to die in one year like all the rest.', 'Awesome clear picture,love the full screen and easy functions,very pleased 😊', 'Samsung 55: AU8000 4K Crystal UHD HDR Smart TV-3 HDMI ( 2021) I Love my New Crystal 55""  TV,  Because Samsung is a very good Product, Always love their products, and I am very satisfied with my TV.', 'I love my new smart Samsung tv.   The view, sound and picture is absolutely fantastic.  Great price too!', 'perfect item, thanks', 'I like the 55 inch Samsung TV but it has a tapping sound for awhile  when it’s off which is a bit annoying. I have another Samsung 55 inch that I bought approximately 2 years ago and I don’t hear that tapping sound from it.', 'Met our needs perfectly. Easy to install. Shipping was good and tracking for spot on. ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,qn60q60,2160p (4K),240 Hz,"Bluetooth, Wi-Fi Enabled, Game Mode, Ethernet Port, Wall Mountable, HDR TV, Flat Screen, Remote Control Included, Wi-Fi Ready",Black,"Netflix, Internet Streaming Interface, Downloadable Apps, Internet Browsing, Opera TV, Screen Mirroring","Digital Audio Optical TOSLINK, Coaxial F, HDMI, USB 2.0",2021,AU8000,Samsung,,60 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand New ONN 100012584 43"" Ultra HD LED Smart TV - Black (SHIPS TODAY)",235.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,100012584,2160p (4K),60 Hz,"HDR TV, Flat Screen",Black,"Netflix, Downloadable Apps","USB, Coaxial F, HDMI",,100012584,ONN,,43 in,0681131308267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-inch Class F20 Series Smart HD 720pTV (NS-32DF310NA19, 2018 Model)",90.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LCD,NS-32DF310NA19,720p (HD),60 Hz,,Black,Voice remote control,"Ethernet, HDMI, USB, ARC, composite input, Antenna/Cable Input",,,Unbranded,,32 in,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hisense 43 Inch H55 Series FHD Full HD Smart Android TV with DTS Studio Sound 43,249.99,37 sold,"[""for the price,...this television is unbeatable. works perfect, super easy setup,...best tv i've ever owned. (2 days in so far so good)"", 'My son got this as an early Christmas present and not one conplaint! He is the type of kid who sees the differences in quality of TV pictures and video, and he likes it!', 'I like the easy access to Netflix,  YouTube ... I also like the voice assistant aspect with my phone.A little time and effort to figure it out but it was there I just needed to figure it all out im talking about the first time I started the TV it tock a bit to get everything loaded and downloaded but difficulty rate of 3 out of 10 is fair just on that ? Of ease of use. After its set up very simple.', ""I'm very pleased with the quality of the HD TV.  It was easy to set up and was watching TV in no time.  There is an issue with the legs for the tv because it leans forward and the screws are hard to tighten the way they should."", ""Great tv , great picture , but instructions are lame. Doesn't tell you how to set the clock or sleep timer. Other than that , I love it !!!"", 'Prior to purchasing this 43"", I own a 65"" which I love. This 43"" is clear, sharp, and it\'s the right size for my bedroom!', 'for my use, very good  my old school had to ask about set up.  then the comment, "" that was easy "".  most of use will be dvd so the picture and sound is excellent', 'I bought this for my 12yr old  for Christmas  it was well packed all there  easy to set up  and  quick mount on the wall   I would  say it took less time to set up  than to get it out of the box  and very light weight  needed  no other help   REAL NICE CHANGE FROM  OTHER  TV', 'I have had an amazing experience from start to finish. Shipping was very fast and I love my new TV! It’s perfect. ', 'I would definitely buy again! My son loves this TV in his room!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,43H5500G,1080p (FHD),60 Hz,"Bluetooth, Wi-Fi Enabled, Ethernet Port, Wall Mountable, Remote Control Included",Black,"Netflix, Internet Streaming Interface, Android TV, Downloadable Apps, Internet Browsing","Digital Audio Optical TOSLINK, USB, Coaxial F, Composite Video RCA, HDMI",2020,43H5500G,Hisense,,43 in,888143007878,,,,,ATSC,No,Not Supported,0888143007878,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung QN75LS03AA 75” The Frame QLED UHD 4K Smart TV QN75LS03AAFXZA (2021),1829.0,73 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung The Frame LS03A,2160p (4K),120 Hz,"UpScaling to 4K, Wi-Fi Enabled, Local Dimming, Wall Mountable, HDR TV, RS-232C",Black,"Internet Streaming Interface, Home Automation Control, Voice Interaction, Screen Mirroring, Home Network Streaming, Internet Browsing","Digital Audio Optical TOSLINK, Coaxial F, HDMI, USB 2.0",2021,"QN75LS03A, QN75LS03AAFXZA",Samsung,,75 in,887276522616,,,,,"QAM, ATSC",,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 55"" inch 4K LED Smart TV 7 Series HDR Ultra HD *Cyber Deal* [2-DayShip]",499.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",LED,Samsung TU7000,2160p (4K),60 Hz,"Wi-Fi Enabled, Wall Mountable",Gray,"Internet Streaming Interface, Home Network Streaming, Internet Browsing","Coaxial F, HDMI, USB 2.0",2020,UN55TU7000FXZA,Samsung,,55 in,0887276400044,1 Star,,,,"QAM, ATSC",,,0887276400044,,,,,,,,,,,A - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
