Title,Price,Sold,Reviews,Condition,Refresh Rate,UPC,Brand,Smart TV Features,Built-in Digital Tuner,Display Technology,Screen Size,Maximum Resolution,Color,Model,Year Manufactured,MPN,Features,Audio/Video Inputs,Manufacturer Warranty,Energy Star,Type,Warranty - Labor,Warranty - Parts,Custom Bundle,3D Technology,EAN,Manufacturer,Assembled Product Dimensions (L x W x H),Manufacturer Part Number,Connector Type,Streaming Services,Is Smart,Resolution,Assembled Product Weight,ISBN,Format,EC Range,Series,Country/Region of Manufacture,Model#,Manufacturer Color,Plug Type,Material,Color System,Voltage,Speaker,Depth (with stand),Width (with stand),Height (with stand),Compatible Brand,Class of efficiency energy,Scale of efficiency energy,modell,Internetverbindung,Processor,Speicherkapazität,Ability to storage,Functionality Smart TV,Inputs Audio / Video,Internet connectivity,Storage capacity,Tuner digital integrated1,Tuner digital integrated2,Tuner digital integrated3,Tuner digital integrated4,Functionality Smart TV1,Inputs Audio / Video1,Tuner digital integrated,Functionality Smart TV2,Size,Televisions:Screen_Size_Class,Home_Video:Series,Bundle Description,Colour,Compatible Devices,Country of Origin,Form Factor,Item Weight,Number Of Items,Package Dimensions,Theme,code,SKU,HDMI,Aspect Ratio,Depth,Depth with Stand,Digital Tuner,DLNA Certified,Electronic Program Guide,Energy Consumption per Year,Ethernet,Height,Height with Stand,Input Voltage,Internet Access,Operating Power Consumption,PC Streaming,Product Family,Product Model,Product Series,Product Type,RMS Output Power,Scan Format,Screen Size Class,Sound System,Standby Power Consumption,Total Number of HDMI Ports,USB,VESA Mount Standard,Video Signal Standard,Weight (Approximate),Weight with Stand (Approximate),Width,Width with Stand,Motion Interpolation Technology,Horizontal Viewing Angle,Product Color,Standard Refresh Rate,item_length,item_width,Functionality Smart TV3,Functionality Smart TV4,Color manufacturer,Inputs Audio / Video3,Inputs Audio / Video2,Year of manufacture,Operating System,Unit Type,Unit Quantity
"VIZIO 50"" Smart TV (Latest Model)(New)",300, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,,VIZIO,"Downloadable Apps, Netflix, Internet Streaming Interface",,LED,50 in,2160p (4K),Black,V505-J09,,,"Anti-Glare, Ambient Light, Built-in Speakers, Eco Mode, Game Mode, Wi-Fi Ready, HDR TV, Remote Control Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TCL 55"" Class 4-Series 4K UHD HDR Roku Smart TV", , , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,,TCL,"Netflix, Internet Streaming Interface, Downloadable Apps, Internet Browsing",,HDR,55 in,4K UHD,Black,55S431,2021,AU8000,"Bluetooth, Wi-Fi Enabled, Game Mode, Ethernet Port, Wall Mountable, HDR TV, Flat Screen, Remote Control Included, Wi-Fi Ready","Digital Audio Optical TOSLINK, Coaxial F, HDMI, USB 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refurbished VIZIO 32"" Class HD Smart TV D-Series D32h-J",148.8,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,7.26084E+11,Does not apply,,,Does not apply,Does not apply,Does not apply,,Does not apply,,,,,,,Does not apply,,,,,7.26084E+11,Vizio,28.88 x 7.04 x 19.49 Inches,D32h-J09,Digital Audio Out. Composite. USB. RF Tuner. HDMI,"Netflix, Hulu, Apple TV+, Disney+, Tubi, YouTube TV, Peacock, You",Y,720p,8.71 lb,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 75"" Class 4K Crystal UHD LED Smart TV with HDR UN75TU7000 - MSRP $1679",845,5 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,7.44504E+12,Samsung,"Closed Captioning (CC), Downloadable Apps, Appstore",NTSC,QLED,75 in,2160p (4K),Black,Samsung TU7000,,UN75TU7000bxza,HDR TV,USB 3.0,,5 Stars,Does not apply,,,No,2D to 3D Conversion,,Samsung,,UN75TU7000BXZA,HDMI (2); USB (1); RF In (1); Digital Audio Out(1); Ethernet (1),"YouTube, Netflix, HBO NOW, Hulu, Disney+, ESPN, Apple TV+, ShowMa",Y,"4K UHD (3,840 x 2,160)",92.4 lb,,Flat,A+++ - G,7 Series,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Onn 75"" Class 4k UHD (2160p) LED Frameless Roku Smart TV MSRP $949 –",599, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,6.81131E+11,ONN,Roku,,LED,75 in,2160p (4K),Black,100044717,,,Thin Bezel,"Audio-In Jack (3.5mm), Coaxial F, Composite Video RCA, HDMI, Optical Cable, USB, LAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 70"" inch 4K LED Smart TV 2021 HDR Crystal Ultra HD *Cyber Deal* ",849.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,8.87276E+11,Samsung,"Internet Streaming Interface, Downloadable Apps","QAM, ATSC",LED,70 in,2160p (4K),Gray,Samsung TU7000,2020,UN70TU7000FXZA,Wall Mountable,HDMI,1 year,Compliant,,,,No,,,,,,,,,,,,,A - G,,,UN70TU6985FXZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vizio D32h-J09 32"" HD Smart TV - Black",269.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,,VIZIO,"Netflix, Internet Streaming Interface, Downloadable Apps, Home Network Streaming, Internet Browsing",,LED,32 in,720p (HD),Black,VIZIO D32h-J09,,D32H-J09,"Virtual Surround, Wi-Fi Enabled, Headphone Jack, Flat Screen",HDMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG NanoCell 75 Series HDR 4K UHD LED Smart webOS TV (2021 Model)  - Choose Size,366.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,,LG,Internet Browsing,ATSC,LED,50 in,2160p (4K),Gray,LG 50NANO75UPA,2021,50NANO75UPA,Wi-Fi Enabled,USB 2.0,1 Year,,,,,No,Not Support,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung AU8000 75"" 4K Ultra HD HDR Smart LED TV - 2021",789.6,8 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,8.87277E+11,Samsung,"Voice Interaction, Downloadable Apps, Internet Browsing",,LED,75 in,2160p (4K),Black,Samsung AU8000,2021,UN75AU8000FXZA,"Bluetooth, Wi-Fi Enabled","USB, HDMI",,,,,,,"2D to 3D Conversion, 3D to 2D Conversion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 55"" inch 4K LED Smart TV 7 Series HDR Ultra HD *Cyber Deal* [2-DayShip]",499.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,8.87276E+11,Samsung,"Internet Streaming Interface, Home Network Streaming, Internet Browsing","QAM, ATSC",LED,55 in,2160p (4K),Gray,Samsung TU7000,2020,UN55TU7000FXZA,"Wi-Fi Enabled, Wall Mountable","Coaxial F, HDMI, USB 2.0",,1 Star,,,,,,8.87276E+11,,,,,,,,,,,A - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net'flix HDMI ULTRA HD 4K SAMSUNG LG Smart QLED,6.84, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Samsung,Netflix,,QLED,55 in,2160p (4K),,SAMSUNG LG Smart QLED,2013,,,HDMI,1 Month,,,,,,,,,,,,,,,,,,A - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand New ONN 100012584 43"" Ultra HD LED Smart TV - Black (SHIPS TODAY)",235,Longtime member, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,6.81131E+11,ONN,"Netflix, Downloadable Apps",,LED,43 in,2160p (4K),Black,100012584,,100012584,"HDR TV, Flat Screen","USB, Coaxial F, HDMI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hisense 43 Inch H55 Series FHD Full HD Smart Android TV with DTS Studio Sound 43,249.99,37 sold,"[""for the price,...this television is unbeatable. works perfect, super easy setup,...best tv i've ever owned. (2 days in so far so good)"", 'My son got this as an early Christmas present and not one conplaint! He is the type of kid who sees the differences in quality of TV pictures and video, and he likes it!', 'I like the easy access to Netflix,  YouTube ... I also like the voice assistant aspect with my phone.A little time and effort to figure it out but it was there I just needed to figure it all out im talking about the first time I started the TV it tock a bit to get everything loaded and downloaded but difficulty rate of 3 out of 10 is fair just on that ? Of ease of use. After its set up very simple.', ""I'm very pleased with the quality of the HD TV.  It was easy to set up and was watching TV in no time.  There is an issue with the legs for the tv because it leans forward and the screws are hard to tighten the way they should."", ""Great tv , great picture , but instructions are lame. Doesn't tell you how to set the clock or sleep timer. Other than that , I love it !!!"", 'Prior to purchasing this 43"", I own a 65"" which I love. This 43"" is clear, sharp, and it\'s the right size for my bedroom!', 'for my use, very good  my old school had to ask about set up.  then the comment, "" that was easy "".  most of use will be dvd so the picture and sound is excellent', 'I bought this for my 12yr old  for Christmas  it was well packed all there  easy to set up  and  quick mount on the wall   I would  say it took less time to set up  than to get it out of the box  and very light weight  needed  no other help   REAL NICE CHANGE FROM  OTHER  TV', 'I have had an amazing experience from start to finish. Shipping was very fast and I love my new TV! It’s perfect. ', 'I would definitely buy again! My son loves this TV in his room!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",60 Hz,8.88143E+11,Hisense,"Netflix, Internet Streaming Interface, Android TV, Downloadable Apps, Internet Browsing",ATSC,LED,43 in,1080p (FHD),Black,43H5500G,2020,43H5500G,"Bluetooth, Wi-Fi Enabled, Ethernet Port, Wall Mountable, Remote Control Included","Digital Audio Optical TOSLINK, USB, Coaxial F, Composite Video RCA, HDMI",,,,,,No,Not Supported,8.88143E+11,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
